Sr. No.,Filename,Struct/Dsect,Name
452,cclwrro.hpp,Lwrro,diCreationDate
453,cccr41ae.hpp,Cr41ae,amtNoPrevVisit
454,ccwp1p1.hpp,Wp1p1,oiMonth
455,ccdr40ae.hpp,Dr40LRec63,DistBtwZipAndGeoHigh
456,cclo3o3.hpp,OneExpoFileMaintWork,workField1
457,ccl0k0k.hpp,mastercard8583,probTScore
458,ccdr40ae.hpp,Dr40LRec7D,highCustExternalRemitHi
459,cclgdwb.hpp,LGDWB,R4SaveArea
460,ccl0k0k.hpp,EPay,ticketNumber
461,cclwraw.hpp,LwrAccumWkArea,ngt_T30
462,ccl7e7e.hpp,L7e7e,itemVersionNum
463,cclo1o1.hpp,OneExpManualReAge,mraDate
464,cclwrgc.hpp,CreditTransformationArea,creditTransform239
465,cclwrdw.hpp,CardNumIso,cardnuum
466,wb4wb.hpp,WB4WB,wb4seldt
467,stoppymt.hpp,C217_NotifyStopPay_Input,sourceofTrx
468,ccl7z7z.hpp,CustomerLvlInfo6,sixMoHiShortTermProb
469,cclwroe.hpp,LwrOneExp,lwroe_oecuexc
470,cclwrle.hpp,LwrleDF47EnhanceAuthArea,LwrleAPDETicket
471,ccltrtr.hpp,AAEntry,conversation2Status
472,ccl0k0k.hpp,privateUseData4,currencyText
473,crciae41.hpp,crciae41,crci41clmx90p
474,ccl7e7e.hpp,L7e7e,optimaCheckbookKeyType
475,cccr26ae.hpp,Cr26LRec66,predefined5_h
476,cclwrav.hpp,AavAddressItem,phoneLastUpdated2
477,cccn3cn3.hpp,Lc3c3,Dis_DecisionRule2
478,ccnr04ae.hpp,Nr04LRec40,issuerAccessCode
479,cccr41ae.hpp,Cr41ae,defaultIndForCtg10pm359am
480,cclwrgc.hpp,CreditTransformationArea,creditTransform097
481,cclwrc2.hpp,Lwrc2,statuscodedata
482,cccr23ae.hpp,Cr23LRec86,mxwicAmount60
483,cchsmra.hpp,KO_EmvStaticAuthData,staticEmvDel
484,ccfr06ae.hpp,Fr06LRec80,fr0680mtod
485,seaccxml.hpp,seDlrIdVariables,percentageWeeklyTransOnSaturday
486,cccrinae.hpp,CrInLrec80,invoiceMatchedtoAr
487,cccr26ae.hpp,Cr26LRec75,hstActTrd60DpdCt
488,ccwp1p1.hpp,Wp1p1,famReason
489,xmltogrf.hpp,XmlToGrf,tsrUnitedDate
490,cre1ae60.hpp,cre1ae60,cre160_wccecccm
491,cclwrcx.hpp,CDSS5Phase3,percentTnESpendLast30day
492,ccwnega.hpp,CnegWorkArea,miscIndicator4
493,cclwrdw.hpp,ProactiveParaFlds2,tst2Prec
494,ccwp1p1.hpp,Wp1p1,ilFiller4
495,ccl9x9x.hpp,L9x9x,interimKey1stInd
496,nfcd0500.cpp,IJ_Table,Delimiter1
497,cclj2j2.hpp,OtherCompanyBlogRecord,timeofResp
498,cclwrcw.hpp,LwrCommon,expansionInd
499,cclm1m1.hpp,DatabaseWorkBlock,transactionSpendingVariance
500,cccr26ae.hpp,GcamData,allTrdOpenBal
501,ccea0ea.hpp,EA0EA_EARES,PScore
502,ccli1i1.hpp,GlobalLimitsCcibGoodTransactionLog,atmCashLineOfCreditHome
503,cccr21ae.hpp,FixedData,balanceForwardAmount
504,ccl7d7d.hpp,BcisSupport56,basicOrSupp
505,cclwrip.hpp,Cclwrip,ipGeoIpAndBillingStateMatchIndicator
506,ccli1i1.hpp,GlobalLimitsErrorLogRecord,dateOfBatchUpdate
507,cczcslr.hpp,SignSSAD,signatureSSAD_VAR_By1976
508,js01tbl.hpp,JsonField,fieldLen
509,ccli1i1.hpp,MccListDbLogRecord,mccTimePeriod
510,ccicnwk.hpp,icnwk_area,CB82info
511,cclj2j2.hpp,OtherCompanyBlogRecord,seFraudToGross
512,cclwrrf.hpp,Lwrrf,shippingBusinessPhoneActivity
513,cclwrcx.hpp,GCPClientCDSSVar,indCLCMUTL
514,cclwrcw.hpp,LwrCommon,basicPrevLocLmtCurrency
515,ccdr40ae.hpp,Dr40LRec45,ipCountry
516,cclwrvp.hpp,Lwrvp,token3EventType
517,ccl7z7z.hpp,CustomerLvlInfo4,corpProbabilityOfAttrition4
518,cashdb.hpp,CashPolicy,domesticLimit
519,cctr1tr.hpp,TrIDandSEmatchInterface,domainControlIndicator
520,ccl6a6a.hpp,PaymentPlanOptions,oneAboveRequestedPlanDetails
521,ccl7d7d.hpp,PaymentData7d,paymtMadeDate
522,cclwrcc.hpp,CC_LogARecord,fraudAuthStatCode3
523,crciae90.hpp,crciae90,crci90dateind
524,ccyk2k2.hpp,Yk2k2,yk2_phnnump
525,ccli7i7.hpp,XrsbItem,currDebitSign
526,ccodapr.hpp,zCryptoODAControlRecord,IccKeyAndCertResponseWorkStructure
527,cccr21ae.hpp,Cr21LRec60,parsAddNameDate
528,ccdr40ae.hpp,Dr40LRec10,walletRiskScore
529,cclwrlg.hpp,LG_LogARecord,globalLimitInd3
530,cclc4c4.hpp,Lc4c4Data,whyDenyForFraudRefCd
531,ccli1i1.hpp,GlobalLimitsCcibGoodTransactionLog,singleTranLimitIndex
532,cclwrse.hpp,SE_LogARecord,fraudRiskCatCode
533,cclwrgc.hpp,CreditTransformationArea,creditTransform063
534,cclwrts.hpp,TimeStamp,QH70ISTIME
535,ccyk2k2.hpp,Yk2k2,Yk2_mecaptsrc
536,cclwrnm.hpp,LWRNM_TRANS,TxAmtCcyOrig
537,ccl0k0k.hpp,Merchant,timeZoneDifference
538,ccyk2k2.hpp,Yk2k2,yk2_convdta
539,ccl0k0k.hpp,mastercard8583,deviverability
540,ccl3m3m.hpp,DraftInd,PersInd
541,cclwrga.hpp,GrmsCommonRedefine,probEven
542,cclayay.hpp,Layay,refferedcenterprint
543,seaccxml.hpp,IglVariables,iglConsumerChargeFraudIncidentRate
544,ns51hdr.hpp,RuleInfo,volRedInd
545,cclwrpv.hpp,WCTPaymentVariablelwr,aggMaxOOPWCTOpen
546,crciae41.hpp,crciae41,crci41clng12m
547,cclwrdw.hpp,ReallocRules,realloctestrulenum1
548,cclnaz3.hpp,PINreminderalert,comMethod
549,cclz5z5t.hpp,lz5z5t,gpinAlrtSendPblk
550,cccrciae.hpp,CrCILRec50,crci50salcnfcdl
551,ccc514api.hpp,InputMsg,cloudWalletProvID
552,cclwrls.hpp,LinkSource,ls4cscres
553,ccpb0pb.hpp,ProcessBlock,oldCardmemberStatus
554,ccl7e7e.hpp,L7e7e,accountDaysAgeThreshold
555,cclwrxa.hpp,XA_LogFRecord,filler_slotHdr
556,cclwrls.hpp,LinkSource,lstknststag
557,ccl3d3d.hpp,L3d3d,swooserPointer
558,ccl7d7d.hpp,Amex15DigitNumber,zeroFill
559,ccl6k6k.hpp,L6k6k,authorizationDate
560,cclwraw.hpp,LwrAccumWkArea,dolsSe24
561,cccrj1ae.hpp,CrJ1LRec86,crj186_p2_6
562,ccbr61ae.hpp,Br61LRec60,fileKey
563,ccl5l5l.hpp,FirData,chrgLocalFee
564,cscdfapi.hpp,algTable,indexila
565,ccl7e7e.hpp,L7e7e,plzCallProcessBitInd
566,crj2ae3c.hpp,crj2ae3c,crj23cdat
567,cclwrwr.hpp,LwrGrmRiskInterface,spareAddrGrme1
568,ccla1a1.hpp,LA1A1,lastProgramToUpdate
569,ccwp1p1.hpp,Wp1p1,ssFiller1
570,acawk.hpp,Acawk,aca_mktchk
571,cclwris.hpp,LwrIso,isSpareBytes
572,cchsmra.hpp,HsmStatus_AA,AMFK_name
573,cceadata.hpp,EA_DATA,ead_p_reg_em
574,cctk0k0.hpp,TK0K0_TKNADRResponse,uniqueIdRes
575,ccrstapi.hpp,GeniCSCElement,csc3CT
576,cccr41ae.hpp,Cr41ae,effectivenessFactorCredit
577,cclwraw.hpp,LwrAccumWkArea,probBizTxnTop3OPENnCCSG
578,cclwrpv.hpp,PayACHVariables,avgRemitInterval15to380
579,ccpvcac.hpp,GetChargeVerificationItemOut,gcAcct19
580,cccr41ae.hpp,Cr41ae,jbsCgServiceAllowed
581,cchsmra.hpp,HsmRa,responseToBK
582,ccdr40ae.hpp,Dr40LRec56,stdDevCtgGT60daysHi
583,ccl7z7z.hpp,CustomerLvlInfo10,billedBalSum30DPD1to12Months
584,ccnr04ae.hpp,Nr04LRec40,amexServiceFee
585,cclwrnd.hpp,LWRND_DERIVED,cvmCryptogram
586,cctk0k0.hpp,TK0K0_TKNINQAResponse,billcurrCode
587,lwrau.hpp,lwrau,lwrauhdl
588,ccmqhdrg.hpp,MqHeaderTypeG,messageId
589,otblapi.hpp,OTBL_Screen4,seTypeWtempWeeklyLimit
590,amapi.hpp,IrTable,irPaymentAwarenessInd
591,ccl5z5z.hpp,TrxnItem,amexIsoEquiv
592,ccgn0gn.hpp,SetUpToken,fpanLen
593,cclwrpa.hpp,LwrPaymentWork,hexMonths
594,cclwrdl.hpp,Lwrdl,wctRCOvl
595,casinq.hpp,InquiryOutputWWCP,numOfNoteLines
596,cclwrwr.hpp,LwrAddresses,address1E8
597,cclayay.hpp,Layay,fullauth
598,cclwrcn.hpp,LwrcnVariableGuidData,binaryGuid1forKeylt
599,cclwraw.hpp,LwrAccumWkArea,dissts15
600,ccwp1p1.hpp,Wp1p1,dsLiftDateDD
601,cclwrcw.hpp,frdMRC,firedMrc3
602,rg00work.hpp,l1616Item,updateStatusIndicator
603,ccebapp.hpp,FileProcessingData,plasticCardNumber
604,ccl7z7z.hpp,GrmsData,preDefinedP3_8
605,xmltogrf.hpp,XmlToGrf,requestMarketCode
606,cclretbl.hpp,LRETbl,lreItem
607,cclwrse.hpp,Lwrse,se_recordId
608,supwkrec.hpp,WorkRecord,paymentNumber
609,ccl8y8y.hpp,KOCreateCert896PubKeySignedBy1152Kprv,issKprvLength
610,ccwp1p1.hpp,Wp1p1,rdPartyContact
611,cccr26ae.hpp,Cr26LRec66,cubhiseg
612,ccdr40ae.hpp,Dr40LRec63,Lrec63PL8_Low
613,cclwrcc.hpp,CC_LogARecord,atmTerminalId
614,ccdr40ae.hpp,Dr40LRec45,spamIp
615,ccor6dae.hpp,DataType0A,df60Sf3EmailRev
616,cclo1o1.hpp,OneExposureTapeData,cashOnCharge
617,cczcslr.hpp,LI6item,O6Rsrc
618,ccl8y8y.hpp,XSHCESessionKey,btkname
619,cccr26ae.hpp,Cr26LRec75,noOfOpenTradeLines
620,l7r7r70.hpp,Seventy,approveSingleChargeLimit
621,ccln6n6.hpp,n60n6,authProcessing4
622,ccl8y8y.hpp,Key1152,selfcert
623,cclwrle.hpp,EASource,LwrleEnhAuthPlusIND4
624,ccl5l5l.hpp,FirData,varLenType
625,cclwrls.hpp,LinkSource,gnsSvcsStandInFields
626,ccainio.hpp,AinioAirlineInternetData,emailMaximum
627,ccpb0pb.hpp,ScriptDetails,rskScrStatus
628,ccl7z7z.hpp,GrmsData,randomizerVar10
629,ccl0k0k.hpp,VisaIso8583,acqInstData
630,ccl0k0k.hpp,AmexData,originalDataElementLength
631,ccurz3ae.hpp,NewKey80,keyBlockType_10
632,cccr26ae.hpp,Cr26LRec66,scmsngck
633,cclwrgc.hpp,CreditTransformationArea,creditTransform250
634,crj1ae95.hpp,crj1ae95,crj195_narauinc
635,ccecalrt.hpp,EcAlrtCr27Algo,path0
636,ccly3y3.hpp,Ly3y3,updTm
637,cccr21ae.hpp,Cr21LRec60,indByte1
638,cclwrcw.hpp,LwrCommon,stiValue
639,payachv.hpp,ReturnedTrigger,reasonCode
640,cclwrcw.hpp,LwrCommon,creditCdssMrcConverted9
641,cccr26ae.hpp,Cr26LRecC0,purgeDateC0
642,ccl3d3d.hpp,CorpPaymentVariable,averageRemitRatio210Days
643,cccrj1ae.hpp,CrJ1LRec84,crj184dat
644,ccf2gxputl.hpp,F2gxputl,i1rvkk31
645,cclwrts.hpp,TimeStamp,BP29ISS
646,cccr81ae.hpp,Cr81LRec3A,pinDeclinesReminderPINdate
647,cclr8p1.hpp,lr8p1,wescore
648,esiaccm.hpp,EsiAccumPayloadFull,numAccts
649,ccl0k0k.hpp,VisaIso8583,filesecurity
650,cclwrdw.hpp,Lwrdw,wctOtbTs2Amnt
651,ccl7l7l.hpp,L7l7l,lastTransactionProcessed
652,cccr26ae.hpp,Cr26LRec73,maxPastDueAmount
653,cclm6m6.hpp,TcpDevice,statusSpare
654,cclwrdw.hpp,Lwrdw,CrdTyp
655,cclwrcc.hpp,CC_LogARecord,probDelq
656,ccor03ae.hpp,Or03LRec90,merchantCity
657,cclwrwr.hpp,LwrAddresses,address1EE
658,ccll9l9.hpp,Ll9l9,processingIndicators
659,cclwrcx.hpp,GCPClientCDSSVar,indVarMRC7
660,cmvdbapi.hpp,CmvDbApi,controlFlexVar
661,cccr26ae.hpp,Cr26LRec66,pcoptdbt
662,cchsmra.hpp,OffsetToPin_182_Req,dec_data
663,cclwrts.hpp,TimeStamp,HASHASTM2
664,cclhphp.hpp,Lhphp_var,batchORMQfeed
665,ccl7p7p.hpp,L7p7p,returnedAddress
666,cclwrlg.hpp,LG_LogARecord,grmsOptimaReferrals
667,cclwraw.hpp,LwrAccumWkArea,dbc4Mtch
668,cclwrcw.hpp,LwrCommon,invalid5CidOrCscHsmFailed
669,lwrls.hpp,lwrls,lwrls_bin_famt
670,ccecalrt.hpp,TriggerEcAlerts,communicationMethod
671,cccr26ae.hpp,Cr26LRec7C,satisPayStatus
672,cccr41ae.hpp,Cr41ae,seCreditToGrossIntlCsbsCustomersDelinquent
673,cclwrmz.hpp,LwrmzWkArea,lwrmz_naatpval
674,otblapi.hpp,OTBL_Screen1,dateTempLimitsExp
675,ccl7z7z.hpp,CustomerLvlInfo10,momthsinSandTOSBNRelation
676,cclj2j2.hpp,OtherCompanyBlogRecord,casRespSec
677,cclg1g1.hpp,CasGLRec,cashBackIndicator
678,cceapdm.hpp,EAITDReq,AddData
679,cclwrip.hpp,Cclwrip,ipLowBoundary
680,cclt2t2.hpp,Lt2vara,lt2rstt
681,cclwrpv.hpp,DesiredPaymentVariables,opnChargeExpToCust12MonMaxRemit
682,cclwrle.hpp,EASource,LwrleRCPLRoutingInfo
683,ccdr40ae.hpp,Dr40LRec7D,nbrAcct30DaysPastDueHi
684,ccl7d7d.hpp,BcisCidwarnFromQfTbl,missingCid
685,cccr26ae.hpp,Cr26LRec88,cashLiquidAssets
686,ccl7d7d.hpp,ExternalInterfaceSaveArea,ocavQVerificationDigits
687,ccpb0pb.hpp,ProcessBlock,subroutineSaveArea4
688,ccl7z7z.hpp,CustomerLvlInfo6,shortTermProbability
689,ingest.hpp,ClientTable,numsockets
690,otblapi.hpp,OTBL_Screen4T,seTypeIntlSweeklyAvlblFunds
691,ccatminfo.hpp,Atminfo,cardHolderBillingCurrencyCode
692,cccr26ae.hpp,Cr26LRec75,levelAautonoOfMonthsSinceOpenDT
693,otblapi.hpp,OTBL_Screen3,seTypeKpermWeeklyLimit
694,cslapi.hpp,LogItem,hour1
695,ccisoae.hpp,ISOAE,reconcilationDate
696,lmpdtlg.hpp,LmpDt,newpayl
697,cclwrcw.hpp,LwrCommon,groupTypeIndicatorSlt3
698,cclwrdw.hpp,Lwrdw,arrPickUpCard
699,ccl7j7j.hpp,SupportFileLines,overrideRetentionDays
700,cccr21ae.hpp,Cr21LRec71,friSpareByte
701,ccdr40ae.hpp,Dr40LRec7F,va1fld
702,cclwraw.hpp,LwrAccumWkArea,cmnSe12
703,cccr26ae.hpp,Cr26LRecA0,mrTierCustomerEnrolled
704,ccli1i1.hpp,InstantDecisionLogRecord,sourceTypeCode
705,cclwrro.hpp,Lwrro,simulatorCasClocApprovedAmount
706,cchsmapi.hpp,LukWorkBlock,atcRangeStart
707,ccl7kqq.hpp,L7kqqPappcInfo,processPReturnCode
708,cccr41ae.hpp,Cr41ae,seCreditToGrossUsCcsgCutomersOutPatternLt2
709,cclwroe.hpp,LwrOneExp,pdrAccountLevelExposure
710,cclwrfc.hpp,FranchiseCardVariables,systemFlag
711,cccrcnae.hpp,CrCnLRecA6,lupcUsedIndicator
712,cccr21ae.hpp,Cr21LRec66,stBilledBalance
713,ccdr40ae.hpp,Dr40LRec5D,StrategyFlag1
714,ccl0k0k.hpp,ConfigurationDataArea,secondarySettleConnect
715,cclwrcn.hpp,LwrcnVariableGuidData,packAndScramble5Cid
716,ccl8y8y.hpp,XOConverttoKeyBlk,firmwareHdr
717,cccr26ae.hpp,Cr26LRec73,cbReasonCode4
718,ccpb0pb.hpp,ProcessBlock,addlBank2MaintDate
719,ccgnsapi.hpp,Gnsapi,gnsmod
720,ccli7i7.hpp,CcddItem,corpHierarchyCd
721,cccr81ae.hpp,ChipScriptItem81,scriptSentDate
722,cclwrwr.hpp,LogRecordType,InternationalDreamVariables
723,ccpb0pb.hpp,ProcessBlock,dpmPaymentAmount
724,cclwreg.hpp,LwregDailyFeedInfo,eg13monthDollarFundAtm60days
725,ccsolval.hpp,DbkHdr,tky
726,ccplogapi.hpp,PinLogInput,retCode
727,ccbr65ae.hpp,Br65LRec90,lastUsedDate
728,cclwrdw.hpp,Lwrdw,PandaBkfdDummyRule2GrpNo
729,cccr41ae.hpp,Cr41ae,seTransactingNumericCountryCode
730,ccir1ir.hpp,TransactionHistory,transactionRoutingNumber
731,ccl7h7h.hpp,l7h7hData,seLocation
732,ccdr40ae.hpp,Dr40LRec78,monthsSinceBkrptConsh
733,cclwrwr.hpp,LwrAddresses,grmsFraudVariablesArea
734,cclwry5.hpp,LwrY5ELogArea,basicCmLastName
735,ccli1i1.hpp,InstantDecisionLogRecord,timeMessageReturnedtoHub
736,cccr21ae.hpp,Cr21LRecA0,enterDate
737,ccld7d7.hpp,Ld7d7,secondary_id
738,ccwp1p1.hpp,Wp1p1,cardNumber15
739,cchsmra.hpp,KP_CertGeneration,iccCertificate
740,lwrls.hpp,lwrls,lwrls_df123_s1_sf5
741,cccr21ae.hpp,Cr21LRec7D,stdDeviationOfMaxDailyAge
742,ccdr40ae.hpp,Dr40LRec59,paybyDateIndicator
743,cccre2ae.hpp,CrE2LRec25,cre225in2
744,cclj2j2.hpp,OtherCompanyBlogRecord,cwLoggingTransaction
745,ccl7e7e.hpp,CreditHistEntryItemsBySeTypeAtoM,totalNumTrxnAtSeType
746,cclcscs.hpp,Lcscs,altGroupLongName
747,cccrj1ae.hpp,CrJ1LRec30,crj130_cdat
748,cceadata.hpp,EA_DATA,ead_p_regacct
749,cccracae.hpp,CrACLRecD2,ipBlockA
750,cclwrdn.hpp,Lwrdn,pandaDeviceMatrix
751,ccldtdt.hpp,LdtItem,authNdeFirOrd
752,cccre2ae.hpp,CrE2LRecC4,cre2c4_tme
753,ccsroute.hpp,SRoute,openTrafficInd
754,cclwrcw.hpp,LwrCommon,basicLocAlertEnrollment
755,cclwrnd.hpp,LWRND_DERIVED,lsFollowFobpath
756,cwsupp.hpp,Cwsupp,indicator5
757,ccl0r0r.hpp,L0rNegativeInfoItem,negativeRetentionPeriod
758,cccr26ae.hpp,Cr26LRec75,levelAopenMortgageStatusDelinq
759,cclwrdn.hpp,Lwrdn,EmIAnyDec24Hr
760,cccr26ae.hpp,Cr26LRec66,rlhdebti
761,tbgbg.hpp,BGTable,overlayField
762,ingest.hpp,CTB,eyecatch2
763,cclwrg1.hpp,LwrGlobalLimitsAccumArea,PlasticExposureToday3SeTypeE
764,ccdr40ae.hpp,Dr40LRec57,cocAvgCreditLo
765,ccpb0pb.hpp,ProcessBlock,bank3SchPayInd
766,ccgparm.hpp,GParmData,argument
767,ccf2gxputl.hpp,F2gxputl,i3r82k5d
768,cclwraw.hpp,LwrAccumWkArea,airRtt30
769,ccli1i1.hpp,GlobalLimitsCcibGoodTransactionLog,otherCashLineOfCreditHome
770,lwrargrm.hpp,lwrHshdItem,history30DaysAmount
771,ccl7e7e.hpp,L7e7e,preferred55BitInd
772,oneakapi.hpp,KylInput,Ordpassed
773,cclwrdw.hpp,Lwrdw,NonRefFrTestRl2GrpNo
774,msgqapi.hpp,MSGQAPI,inputrecordPtr
775,ccl7d7d.hpp,BcisCreditAnalysisData,terminalLocation
776,ccisoae.hpp,ISOAE,nationalUse1
777,rpapi.hpp,GpinStatus,lockStatus
778,cchsmra.hpp,NonVarKey,nonVariantKey
779,cccr41ae.hpp,Cr41aeKey55,dateTimeLastSeduUpdated
780,cccr26ae.hpp,Cr26LRec66,openasl1
781,hsmra.mac,HSMRA,HSM_4E_DL05
782,l7k7k.mac,L7K7K,L7K8T0
783,l7y7y.mac,L7Y7Y,L7Y1C243C
784,l7kll.mac,L7KLL,L7KLL_EQ_OTCCHNPR
785,lwrwr.mac,LWRWR,LWRACCT
786,gbm_vars.mac,GBM_VARS,GBM_CR2673SGNRVMMC
787,l7e7e.mac,L7E7E,L7EGAT1
788,lgcgc.mac,LGCGC,LGCCM_COMMPLSM
789,lyyyy.mac,LYYYY,LYYCFNDU01
790,li1i1.mac,LI1I1,LI1IMPB
791,zz48.asm,WORKAREA,R_SEQNUM
792,un0wk.mac,UN0WK,UN9U110
793,l7kqq.mac,L7KQQ,L7KQB_SLRTRMBL
794,l5k5k.mac,L5K5K,L5K1TS
795,l3p3p.mac,L3P3P,L3PORD
796,l7d7d.mac,L7D7D,L7DD3P4
797,l0k0k.mac,L0K0K,L0KV2FD
798,wk0wk.mac,WK0WK,WK0646
799,wp2p2.mac,WP2P2,WP2RPD
800,lg1g1.mac,LG1G1,LG1UPDN
801,yk3k3.mac,YK3K3,YK3_SDPFID
802,pb0bp.mac,PB0PB,REF_DATE
803,l7kgg.mac,L7KGG,L7KG_CUEXPRAT
804,av52.asm,WRKAREA,UPGIND
805,yc6a.asm,WK_BLCK,WK_CNKEY
806,lfa5l.mac,LFA5L,LFA5NADPF
807,l7kii.mac,L7KII,L7KIS_SWSATRB5
808,l8y8y.mac,L8Y8Y,L8Y_XQ_BIN
809,lx8x8.mac,LX8X8,LX8NFLL
810,l8s8s.mac,L8S8S,L8SSE6
811,daccpt.mac,DACCPT,CPTCKBK
812,l7z7z.mac,L7Z7Z,L7Z_SCBGRFLR
813,li7i7.mac,LI7I7,LI7NEGR
814,cas_cstone.mac,CAS_CSTONE,CR2688_BFRNE100
815,l3d3d.mac,L3D3D,L3DLPMABA
816,l5z5z.mac,L5Z5Z,L5ZTNN
817,ld0d0.mac,LD0D0,LD0UH12AMTL
818,nfbf.asm,WORKBLK,BIT256KEY
819,le8e8.mac,LE8E8,LE8OT90
820,lwrvp.mac,LWRVP,LWRVPCIAMT
821,bauwk.mac,BAUWK,BAU_SET_MXAMU
822,argrm.mac,ARGRM,ARGREM6
823,wp1p1.mac,WP1P1,WP1DLF04
824,lwraw.mac,LWRAW,LWRAW_CAPCTRAT
825,tgngn.mac,TGNGN,TGN_NAWMXRLC
826,tn0n0.mac,TN0N0,TN0N0_SW071
827,le2e2.mac,LE2E2,LE2GNS1
828,l7b7b.mac,L7B7B,L7BRNB
829,dj77.asm,WRKBLK,ACCM_CM15
830,nl73.asm,ALASW,ALASC_FILEALG
831,lm1m1.mac,LM1M1,LM1BACI
832,ll6l6.mac,LL6L6,LL6PY__
833,tk0k0.mac,TK0K0,TK0QVSAI
834,se26.asm,ALASCBLK,WKAREA4
835,lz04z0.mac,LZ04Z0,LZ042PBS
836,l0g0g.mac,L0G0G,L0GTI1
837,wx8x8.mac,WX8X8,WX8AMC
838,l9i9i.mac,LI9I9,LI9WEKEY
839,l4d4d.mac,L4D4D,L4DRSPR
840,lnrnr.mac,LNRNR,LNRHLF
841,lm3m3.mac,LM3M3,LM3HR05RG3
842,l9k9k.mac,L9K9K,L9KDTJ
843,lkjkj.mac,LKJKJ,LKJCNT1
844,yk2k2.mac,YK2K2,YK2_IP1L
845,vf91.asm,WK_BLOCK,WK_R2SV
846,cmphx.mac,CMPHX,CMPHX_AEMLSKY
847,l7ktg.mac,L7KTG,L7KT_ACC_NUM
848,l0j0j.mac,L0J0J,L0JBSAM
849,l1q1q.mac,L1Q1Q,L1QQOVR
850,lroro.mac,LRORO,LRO_ATP_VRS1
851,xl71.asm,PARMS,PPURG
852,na76.asm,INPREC,INPDYWO
853,aavout.mac,AAVOUT,AAVOT_SDTCD
854,lk9k9.mac,LK9K9,LK9ZMF
855,l7h7h.mac,L7H7H,L7HLND
856,lwrrn.mac,LWRRN,LWRRN_AAV_3I8
857,lwrrc.mac,LWRRC,LWRRC_ZMFFRC04
858,lwrmz.mac,LWRMZ,LWRMZ_CULNBLD1
859,cr41md.mac,CR41MD,CR41MDSEFFRT55
860,lwrdw.mac,LWRDW,LWRDW_ADEVCD12
861,xe74.asm,LWKWK,LWKWK088
862,lb4b4.mac,LB4B4,LB9CFRT2
863,lo3o3.mac,LO3O3,WK_EXT1BF2
864,cmcwrk.mac,CMCWRK,CMCWGRAC
865,lmnmn.mac,LMNMN,LMNCONTI
866,aavwka.mac,AAVWKA,AAVWK_LNL
867,lwrnm.mac,LWRNM,NM_DUKPTKEYSETID
868,fg62.asm,EB0EB,NEGCDS
869,l2929.mac,L2929,L29TMRG
870,zr0ta.mac,ZR0TA,ZR0CNTC
871,lwrnd.mac,LWRND,ND_5CSCLN
872,sdpgl.mac,SDPGL,SDPH1AK
873,wnega.mac,WNEGA,WNCSUBR1
874,fzzzz.mac,FZZZZ,FZZODR
875,l6d6d.mac,L6D6D,L6D40SPR2
876,dacmax.mac,DACMAX,DAMWWCZ
877,l9p9p.mac,L9P9P,L9PCEN
878,end0d0.mac,END0D0,END0_PSWL
879,pbtinq.mac,PBTINQ,PBTRQRFL
880,en0n0.mac,EN0N0,EN02_MEND
881,l3b3b.mac,L3B3B,L3BNEG
882,su86.asm,WORKBLOCK,SU8PTIN
883,l4q4q.mac,L4Q4Q,L4QNUM
884,ge0e0.mac,GE0E0,GE0_08EDV
885,l6o6o.mac,L6O6O,L6O_CVM
886,acawk.mac,ACAWK,ACA_PARS03D
887,lb1b1.mac,LB1B1,LB1AER8
888,lwrls.mac,LWRLS,LWRLS_NWATCV
889,lwrgm.mac,LWRGM,LWRGM_GCPUMERR
890,lwrre.mac,LWRRE,LWRRE_GHSUMRMP
891,lwrpq.mac,LWRPQ,LWRPQ_PCPDSA30
892,lwrcx.mac,LWRCX,LWRCX_CBAM_AGE
893,icnalt.mac,ICNALT,ICN_BASICCM
894,ll2l2.mac,LL2L2,LL2NP2
895,ll5l5.mac,LL5L5,LL5RQS
896,lj2j2.mac,LJ2J2,LJ2SEZIP
897,l0w0w.mac,L0W0W,L0W10KR
898,lm6m6.mac,LM6M6,LM6_HSMUSAGE
899,cmcdac.mac,CMCDAC,CMCREQAMT
900,pf28.asm,APSTACK,APRGSAVE1
901,lg6g6.mac,LG6G6,LG6EFF9
902,t0o0o.mac,T0O0O,T0OTMS
903,lwrg5.mac,LWRG5,LWRG5EIU1
904,gcrres.mac,GCRRES,GCRRP_CUS_PAC
905,wctdata.mac,WCTDATA,WCT_P_PHONELN
906,mvsxf.mac,MVSXF,MVS0NP1
907,l7s7s.mac,L7S7S,L7STRM
908,lv9v9.mac,LV9V9,LV9IUTM
909,lt2t2.mac,LT2T2,LT2CS_ANIF
910,xh95.asm,XH95LDT,XH9553M
911,dacdp.mac,DACDP,DACDP_CREIN
912,l3h3h.mac,L3H3H,L3HNDN
913,l6a6a.mac,L6A6A,L6AFC0
914,dg98.asm,LCUUCU,CUU_SE_BAD_CR43K60
915,wcccs.mac,WCCCS,WCS2SE10
916,cr21oe.mac,CR21OE,CR21OECAP
917,l1212.mac,L1212,L12SAL
918,lswsw.mac,LSWSW,LSWRRN
919,l6t6t.mac,L6T6T,L6TTID
920,jx31.asm,JX31SECT,JX31STYP
921,casdb.mac,CASDB,CASDB_KEY_MSK
922,l0l0l.mac,L0L0L,L0LTSCT
923,laxax.mac,LAXAX,LAX_PRODTYP3
924,lnyny.mac,LNYNY,LNY_ETFL
